# x1 x2 f1 f2
-3.000000 -3.000000 9.705600 21.030023
-3.000000 -2.929293 9.286357 21.933508
-3.000000 -2.858586 8.877113 22.806997
-3.000000 -2.787879 8.477868 23.650489
-3.000000 -2.717172 8.088622 24.463984
-3.000000 -2.646465 7.709375 25.247482
-3.000000 -2.575758 7.340127 26.000984
-3.000000 -2.505051 6.980878 26.724488
-3.000000 -2.434343 6.631628 27.417995
-3.000000 -2.363636 6.292377 28.081505
-3.000000 -2.292929 5.963125 28.715019
-3.000000 -2.222222 5.643872 29.318535
-3.000000 -2.151515 5.334617 29.892055
-3.000000 -2.080808 5.035362 30.435577
-3.000000 -2.010101 4.746106 30.949103
-3.000000 -1.939394 4.466849 31.432632
-3.000000 -1.868687 4.197591 31.886163
-3.000000 -1.797980 3.938331 32.309698
-3.000000 -1.727273 3.689071 32.703236
-3.000000 -1.656566 3.449810 33.066777
-3.000000 -1.585859 3.220547 33.400321
-3.000000 -1.515152 3.001284 33.703868
-3.000000 -1.444444 2.792020 33.977418
-3.000000 -1.373737 2.592754 34.220971
-3.000000 -1.303030 2.403488 34.434528
-3.000000 -1.232323 2.224221 34.618087
-3.000000 -1.161616 2.054952 34.771649
-3.000000 -1.090909 1.895683 34.895215
-3.000000 -1.020202 1.746412 34.988783
-3.000000 -0.949495 1.607141 35.052355
-3.000000 -0.878788 1.477868 35.085929
-3.000000 -0.808081 1.358595 35.089507
-3.000000 -0.737374 1.249320 35.063088
-3.000000 -0.666667 1.150044 35.006672
-3.000000 -0.595960 1.060768 34.920259
-3.000000 -0.525253 0.981490 34.803848
-3.000000 -0.454545 0.912212 34.657441
-3.000000 -0.383838 0.852932 34.481037
-3.000000 -0.313131 0.803651 34.274637
-3.000000 -0.242424 0.764370 34.038239
-3.000000 -0.171717 0.735087 33.771844
-3.000000 -0.101010 0.715803 33.475452
-3.000000 -0.030303 0.706518 33.149064
-3.000000 0.040404 0.707233 32.792678
-3.000000 0.111111 0.717946 32.406295
-3.000000 0.181818 0.738658 31.989916
-3.000000 0.252525 0.769369 31.543540
-3.000000 0.323232 0.810079 31.067166
-3.000000 0.393939 0.860788 30.560796
-3.000000 0.464646 0.921496 30.024429
-3.000000 0.535354 0.992203 29.458065
-3.000000 0.606061 1.072909 28.861703
-3.000000 0.676768 1.163615 28.235345
-3.000000 0.747475 1.264319 27.578990
-3.000000 0.818182 1.375022 26.892638
-3.000000 0.888889 1.495723 26.176290
-3.000000 0.959596 1.626424 25.429944
-3.000000 1.030303 1.767124 24.653601
-3.000000 1.101010 1.917823 23.847261
-3.000000 1.171717 2.078521 23.010925
-3.000000 1.242424 2.249218 22.144591
-3.000000 1.313131 2.429914 21.248261
-3.000000 1.383838 2.620609 20.321933
-3.000000 1.454545 2.821303 19.365609
-3.000000 1.525253 3.031995 18.379288
-3.000000 1.595960 3.252687 17.362969
-3.000000 1.666667 3.483378 16.316654
-3.000000 1.737374 3.724068 15.240342
-3.000000 1.808081 3.974756 14.134033
-3.000000 1.878788 4.235444 12.997727
-3.000000 1.949495 4.506131 11.831424
-3.000000 2.020202 4.786816 10.635124
-3.000000 2.090909 5.077501 9.408827
-3.000000 2.161616 5.378184 8.152534
-3.000000 2.232323 5.688867 6.866243
-3.000000 2.303030 6.009549 5.549955
-3.000000 2.373737 6.340229 4.203671
-3.000000 2.444444 6.680909 2.827389
-3.000000 2.515152 7.031587 1.421111
-3.000000 2.585859 7.392265 -0.015165
-3.000000 2.656566 7.762941 -1.481437
-3.000000 2.727273 8.143617 -2.977706
-3.000000 2.797980 8.534291 -4.503973
-3.000000 2.868687 8.934964 -6.060236
-3.000000 2.939394 9.345637 -7.646496
-3.000000 3.010101 9.766308 -9.262753
-3.000000 3.080808 10.196978 -10.909007
-3.000000 3.151515 10.637648 -12.585258
-3.000000 3.222222 11.088316 -14.291506
-3.000000 3.292929 11.548983 -16.027750
-3.000000 3.363636 12.019650 -17.793992
-3.000000 3.434343 12.500315 -19.590231
-3.000000 3.505051 12.990979 -21.416466
-3.000000 3.575758 13.491642 -23.272699
-3.000000 3.646465 14.002304 -25.158928
-3.000000 3.717172 14.522966 -27.075155
-3.000000 3.787879 15.053626 -29.021378
-3.000000 3.858586 15.594285 -30.997599
-3.000000 3.929293 16.144943 -33.003816
-3.000000 4.000000 16.705600 -35.040030

-2.929293 -3.000000 9.634300 19.521797
-2.929293 -2.929293 9.215057 20.434402
-2.929293 -2.858586 8.805813 21.317010
-2.929293 -2.787879 8.406568 22.169621
-2.929293 -2.717172 8.017322 22.992235
-2.929293 -2.646465 7.638075 23.784852
-2.929293 -2.575758 7.268827 24.547472
-2.929293 -2.505051 6.909578 25.280096
-2.929293 -2.434343 6.560328 25.982722
-2.929293 -2.363636 6.221077 26.655352
-2.929293 -2.292929 5.891825 27.297984
-2.929293 -2.222222 5.572571 27.910620
-2.929293 -2.151515 5.263317 28.493258
-2.929293 -2.080808 4.964062 29.045900
-2.929293 -2.010101 4.674806 29.568545
-2.929293 -1.939394 4.395549 30.061193
-2.929293 -1.868687 4.126290 30.523844
-2.929293 -1.797980 3.867031 30.956498
-2.929293 -1.727273 3.617771 31.359155
