# x1 x2 f1 f2
-4.000000 -4.000000 19.215988 32.385426
-4.000000 -3.919192 18.576053 33.711585
-4.000000 -3.838384 17.949178 34.998564
-4.000000 -3.757576 17.335363 36.246364
-4.000000 -3.676768 16.734608 37.454984
-4.000000 -3.595960 16.146913 38.624424
-4.000000 -3.515152 15.572278 39.754685
-4.000000 -3.434343 15.010702 40.845766
-4.000000 -3.353535 14.462187 41.897668
-4.000000 -3.272727 13.926731 42.910389
-4.000000 -3.191919 13.404336 43.883932
-4.000000 -3.111111 12.895000 44.818294
-4.000000 -3.030303 12.398724 45.713477
-4.000000 -2.949495 11.915508 46.569480
-4.000000 -2.868687 11.445352 47.386303
-4.000000 -2.787879 10.988256 48.163947
-4.000000 -2.707071 10.544219 48.902411
-4.000000 -2.626263 10.113243 49.601695
-4.000000 -2.545455 9.695326 50.261800
-4.000000 -2.464646 9.290470 50.882725
-4.000000 -2.383838 8.898673 51.464470
-4.000000 -2.303030 8.519936 52.007036
-4.000000 -2.222222 8.154259 52.510422
-4.000000 -2.141414 7.801642 52.974628
-4.000000 -2.060606 7.462085 53.399654
-4.000000 -1.979798 7.135588 53.785501
-4.000000 -1.898990 6.822150 54.132169
-4.000000 -1.818182 6.521773 54.439656
-4.000000 -1.737374 6.234455 54.707964
-4.000000 -1.656566 5.960197 54.937092
-4.000000 -1.575758 5.698999 55.127041
-4.000000 -1.494949 5.450862 55.277810
-4.000000 -1.414141 5.215783 55.389399
-4.000000 -1.333333 4.993765 55.461809
-4.000000 -1.252525 4.784807 55.495038
-4.000000 -1.171717 4.588909 55.489089
-4.000000 -1.090909 4.406070 55.443959
-4.000000 -1.010101 4.236292 55.359650
-4.000000 -0.929293 4.079573 55.236161
-4.000000 -0.848485 3.935914 55.073492
-4.000000 -0.767677 3.805315 54.871644
-4.000000 -0.686869 3.687776 54.630616
-4.000000 -0.606061 3.583297 54.350409
-4.000000 -0.525253 3.491878 54.031022
-4.000000 -0.444444 3.413518 53.672455
-4.000000 -0.363636 3.348219 53.274708
-4.000000 -0.282828 3.295979 52.837782
-4.000000 -0.202020 3.256800 52.361676
-4.000000 -0.121212 3.230680 51.846390
-4.000000 -0.040404 3.217620 51.291925
-4.000000 0.040404 3.217620 50.698280
-4.000000 0.121212 3.230680 50.065455
-4.000000 0.202020 3.256800 49.393451
-4.000000 0.282828 3.295979 48.682267
-4.000000 0.363636 3.348219 47.931903
-4.000000 0.444444 3.413518 47.142360
-4.000000 0.525253 3.491878 46.313637
-4.000000 0.606061 3.583297 45.445734
-4.000000 0.686869 3.687776 44.538652
-4.000000 0.767677 3.805315 43.592390
-4.000000 0.848485 3.935914 42.606948
-4.000000 0.929293 4.079573 41.582327
-4.000000 1.010101 4.236292 40.518526
-4.000000 1.090909 4.406070 39.415545
-4.000000 1.171717 4.588909 38.273385
-4.000000 1.252525 4.784807 37.092045
-4.000000 1.333333 4.993765 35.871525
-4.000000 1.414141 5.215783 34.611825
-4.000000 1.494949 5.450862 33.312946
-4.000000 1.575758 5.698999 31.974887
-4.000000 1.656566 5.960197 30.597649
-4.000000 1.737374 6.234455 29.181231
-4.000000 1.818182 6.521773 27.725633
-4.000000 1.898990 6.822150 26.230856
