# ИСХОДНЫЕ ТОЧКИ
0.060000 2.478000
0.356000 3.471000
0.763000 3.257000
1.096000 1.086000
1.540000 1.291000
2.021000 3.735000
2.354000 0.729000
2.761000 0.684000
3.205000 2.371000
3.464000 3.142000
3.760000 2.846000


# ПЕРВАЯ ПРОИЗВОДНАЯ СПЛАЙНА
0.060000 3.777858
0.065920 3.777350
0.071840 3.775827
0.077760 3.773288
0.083680 3.769734
0.089600 3.765164
0.095520 3.759579
0.101440 3.752978
0.107360 3.745362
0.113280 3.736730
0.119200 3.727082
0.125120 3.716420
0.131040 3.704741
0.136960 3.692047
0.142880 3.678338
0.148800 3.663613
0.154720 3.647873
0.160640 3.631117
0.166560 3.613346
0.172480 3.594559
0.178400 3.574756
0.184320 3.553938
0.190240 3.532105
0.196160 3.509256
0.202080 3.485392
0.208000 3.460512
0.213920 3.434616
0.219840 3.407705
0.225760 3.379779
0.231680 3.350837
0.237600 3.320879
0.243520 3.289906
0.249440 3.257918
0.255360 3.224914
0.261280 3.190895
0.267200 3.155860
0.273120 3.119809
0.279040 3.082743
0.284960 3.044661
0.290880 3.005564
0.296800 2.965452
0.302720 2.924324
0.308640 2.882180
0.314560 2.839021
0.320480 2.794847
0.326400 2.749656
0.332320 2.703451
0.338240 2.656230
0.344160 2.607993
0.350080 2.558741
0.356000 2.508473
0.356000 2.508473
0.364140 2.437111
0.372280 2.362655
0.380420 2.285105
0.388560 2.204463
0.396700 2.120727
0.404840 2.033897
0.412980 1.943975
0.421120 1.850959
0.429260 1.754850
0.437400 1.655648
0.445540 1.553352
0.453680 1.447963
0.461820 1.339481
0.469960 1.227906
0.478100 1.113237
0.486240 0.995475
0.494380 0.874619
0.502520 0.750671
0.510660 0.623629
0.518800 0.493494
0.526940 0.360265
0.535080 0.223944
0.543220 0.084529
0.551360 -0.057980
0.559500 -0.203581
0.567640 -0.352276
0.575780 -0.504064
0.583920 -0.658946
0.592060 -0.816921
0.600200 -0.977989
0.608340 -1.142150
0.616480 -1.309405
0.624620 -1.479752
0.632760 -1.653194
0.640900 -1.829728
0.649040 -2.009356
0.657180 -2.192077
0.665320 -2.377891
0.673460 -2.566799
0.681600 -2.758800
0.689740 -2.953894
0.697880 -3.152081
0.706020 -3.353362
0.714160 -3.557736
0.722300 -3.765203
0.730440 -3.975764
0.738580 -4.189418
0.746720 -4.406165
0.754860 -4.626005
0.763000 -4.848939
0.763000 -4.848939
0.769660 -5.029099
0.776320 -5.202249
0.782980 -5.368389
0.789640 -5.527517
0.796300 -5.679636
0.802960 -5.824743
0.809620 -5.962841
0.816280 -6.093927
0.822940 -6.218003
0.829600 -6.335069
0.836260 -6.445124
0.842920 -6.548168
0.849580 -6.644202
0.856240 -6.733225
0.862900 -6.815238
0.869560 -6.890240
0.876220 -6.958232
0.882880 -7.019213
0.889540 -7.073184
0.896200 -7.120144
0.902860 -7.160093
0.909520 -7.193032
0.916180 -7.218960
0.922840 -7.237878
0.929500 -7.249785
0.936160 -7.254682
0.942820 -7.252568
0.949480 -7.243444
0.956140 -7.227309
0.962800 -7.204163
0.969460 -7.174007
0.976120 -7.136841
0.982780 -7.092663
0.989440 -7.041476
0.996100 -6.983277
1.002760 -6.918069
1.009420 -6.845849
1.016080 -6.766619
1.022740 -6.680379
1.029400 -6.587128
1.036060 -6.486866
1.042720 -6.379594
1.049380 -6.265311
1.056040 -6.144018
1.062700 -6.015714
1.069360 -5.880400
1.076020 -5.738075
1.082680 -5.588740
1.089340 -5.432394
1.096000 -5.269037
1.096000 -5.269037
1.104880 -5.046352
1.113760 -4.823263
1.122640 -4.599768
1.131520 -4.375869
1.140400 -4.151564
1.149280 -3.926855
1.158160 -3.701741
1.167040 -3.476223
1.175920 -3.250299
1.184800 -3.023970
1.193680 -2.797237
1.202560 -2.570099
1.211440 -2.342556
1.220320 -2.114608
1.229200 -1.886255
1.238080 -1.657497
1.246960 -1.428335
1.255840 -1.198768
1.264720 -0.968795
1.273600 -0.738418
1.282480 -0.507636
1.291360 -0.276450
1.300240 -0.044858
1.309120 0.187138
1.318000 0.419540
1.326880 0.652346
1.335760 0.885557
1.344640 1.119173
1.353520 1.353193
1.362400 1.587619
1.371280 1.822449
1.380160 2.057685
