# ИСХОДНЫЕ ТОЧКИ
0.060000 2.478000
0.356000 3.471000
0.763000 3.257000
1.096000 1.086000
1.540000 1.291000
2.021000 3.735000
2.354000 0.729000
2.761000 0.684000
3.205000 2.371000
3.464000 3.142000
3.760000 2.846000


# ВТОРАЯ ПРОИЗВОДНАЯ СПЛАЙНА
0.060000 0.000000
0.062960 -0.085769
0.065920 -0.171538
0.068880 -0.257308
0.071840 -0.343077
0.074800 -0.428846
0.077760 -0.514615
0.080720 -0.600385
0.083680 -0.686154
0.086640 -0.771923
0.089600 -0.857692
0.092560 -0.943461
0.095520 -1.029231
0.098480 -1.115000
0.101440 -1.200769
0.104400 -1.286538
0.107360 -1.372307
0.110320 -1.458077
0.113280 -1.543846
0.116240 -1.629615
0.119200 -1.715384
0.122160 -1.801154
0.125120 -1.886923
0.128080 -1.972692
0.131040 -2.058461
0.134000 -2.144230
0.136960 -2.230000
0.139920 -2.315769
0.142880 -2.401538
0.145840 -2.487307
0.148800 -2.573077
0.151760 -2.658846
0.154720 -2.744615
0.157680 -2.830384
0.160640 -2.916153
0.163600 -3.001923
0.166560 -3.087692
0.169520 -3.173461
0.172480 -3.259230
0.175440 -3.344999
0.178400 -3.430769
0.181360 -3.516538
0.184320 -3.602307
0.187280 -3.688076
0.190240 -3.773846
0.193200 -3.859615
0.196160 -3.945384
0.199120 -4.031153
0.202080 -4.116922
0.205040 -4.202692
0.208000 -4.288461
0.210960 -4.374230
0.213920 -4.459999
0.216880 -4.545769
0.219840 -4.631538
0.222800 -4.717307
0.225760 -4.803076
0.228720 -4.888845
0.231680 -4.974615
0.234640 -5.060384
0.237600 -5.146153
0.240560 -5.231922
0.243520 -5.317691
0.246480 -5.403461
0.249440 -5.489230
0.252400 -5.574999
0.255360 -5.660768
0.258320 -5.746538
0.261280 -5.832307
0.264240 -5.918076
0.267200 -6.003845
0.270160 -6.089614
0.273120 -6.175384
0.276080 -6.261153
0.279040 -6.346922
0.282000 -6.432691
0.284960 -6.518461
0.287920 -6.604230
0.290880 -6.689999
0.293840 -6.775768
0.296800 -6.861537
0.299760 -6.947307
0.302720 -7.033076
0.305680 -7.118845
0.308640 -7.204614
0.311600 -7.290383
0.314560 -7.376153
0.317520 -7.461922
0.320480 -7.547691
0.323440 -7.633460
0.326400 -7.719230
0.329360 -7.804999
0.332320 -7.890768
0.335280 -7.976537
0.338240 -8.062306
0.341200 -8.148076
0.344160 -8.233845
0.347120 -8.319614
0.350080 -8.405383
0.353040 -8.491153
0.356000 -8.576922
0.356000 -8.576922
0.360070 -8.766927
0.364140 -8.956932
0.368210 -9.146937
0.372280 -9.336942
0.376350 -9.526948
0.380420 -9.716953
0.384490 -9.906958
0.388560 -10.096963
0.392630 -10.286968
0.396700 -10.476973
0.400770 -10.666979
0.404840 -10.856984
0.408910 -11.046989
0.412980 -11.236994
0.417050 -11.426999
0.421120 -11.617004
0.425190 -11.807010
0.429260 -11.997015
0.433330 -12.187020
0.437400 -12.377025
0.441470 -12.567030
0.445540 -12.757035
0.449610 -12.947041
0.453680 -13.137046
0.457750 -13.327051
0.461820 -13.517056
0.465890 -13.707061
0.469960 -13.897067
0.474030 -14.087072
0.478100 -14.277077
0.482170 -14.467082
0.486240 -14.657087
0.490310 -14.847092
0.494380 -15.037098
0.498450 -15.227103
0.502520 -15.417108
0.506590 -15.607113
0.510660 -15.797118
0.514730 -15.987123
0.518800 -16.177129
0.522870 -16.367134
0.526940 -16.557139
0.531010 -16.747144
0.535080 -16.937149
0.539150 -17.127154
0.543220 -17.317160
0.547290 -17.507165
0.551360 -17.697170
0.555430 -17.887175
0.559500 -18.077180
0.563570 -18.267185
0.567640 -18.457191
0.571710 -18.647196
0.575780 -18.837201
0.579850 -19.027206
0.583920 -19.217211
0.587990 -19.407216
0.592060 -19.597222
0.596130 -19.787227
0.600200 -19.977232
0.604270 -20.167237
0.608340 -20.357242
0.612410 -20.547247
0.616480 -20.737253
0.620550 -20.927258
0.624620 -21.117263
0.628690 -21.307268
0.632760 -21.497273
0.636830 -21.687278
0.640900 -21.877284
0.644970 -22.067289
0.649040 -22.257294
0.653110 -22.447299
0.657180 -22.637304
0.661250 -22.827310
0.665320 -23.017315
