# x Error_Right Error_Left Error_Central Error_FivePoint
0.100000 0.228513 0.000000 0.000000 0.000000
0.129000 0.181352 0.000000 0.000000 0.000000
0.158000 0.138030 0.000000 0.000000 0.000000
0.187000 0.098304 0.000000 0.009325 0.000000
0.216000 0.061933 0.000000 0.008550 0.000000
0.245000 0.028691 0.000000 0.007827 0.000000
0.274000 0.001633 0.099012 0.007154 0.000040
0.303000 0.029225 0.062583 0.006527 0.000036
0.332000 0.054244 0.029283 0.005940 0.000031
0.361000 0.076824 0.001095 0.005387 0.000026
0.390000 0.097072 0.028738 0.004863 0.000021
0.419000 0.115075 0.053807 0.004362 0.000016
0.448000 0.130897 0.076433 0.003879 0.000013
0.477000 0.144589 0.096726 0.003410 0.000010
0.506000 0.156194 0.114770 0.002952 0.000008
0.535000 0.165748 0.130632 0.002502 0.000007
0.564000 0.173289 0.144363 0.002060 0.000007
0.593000 0.178861 0.156003 0.001626 0.000008
0.622000 0.182516 0.165592 0.001200 0.000010
0.651000 0.184321 0.173166 0.000786 0.000013
0.680000 0.184356 0.178768 0.000386 0.000016
0.709000 0.182718 0.182453 0.000003 0.000019
0.738000 0.179519 0.184285 0.000359 0.000022
0.767000 0.174889 0.184346 0.000697 0.000025
0.796000 0.168967 0.182732 0.001007 0.000027
0.825000 0.161906 0.179557 0.001286 0.000029
0.854000 0.153865 0.174947 0.001532 0.000031
0.883000 0.145006 0.169044 0.001744 0.000031
0.912000 0.135493 0.162000 0.001920 0.000031
0.941000 0.125485 0.153974 0.002061 0.000031
0.970000 0.115138 0.145128 0.002168 0.000030
0.999000 0.104595 0.135626 0.002240 0.000028
1.028000 0.093991 0.125628 0.002282 0.000026
1.057000 0.083446 0.115287 0.002294 0.000023
1.086000 0.073068 0.104749 0.002281 0.000021
1.115000 0.062949 0.094148 0.002244 0.000018
1.144000 0.053165 0.083605 0.002187 0.000015
1.173000 0.043779 0.073226 0.002114 0.000012
1.202000 0.034841 0.063105 0.002027 0.000009
1.231000 0.026385 0.053318 0.001930 0.000007
1.260000 0.018436 0.043928 0.001825 0.000005
1.289000 0.011007 0.034984 0.001715 0.000003
1.318000 0.004103 0.026522 0.001602 0.000001
1.347000 0.002282 0.018567 0.001489 0.000001
1.376000 0.008159 0.011131 0.001376 0.000002
1.405000 0.013542 0.004219 0.001266 0.000003
1.434000 0.018454 0.002174 0.001159 0.000004
1.463000 0.022917 0.008057 0.001057 0.000005
1.492000 0.026958 0.013448 0.000961 0.000005
1.521000 0.030606 0.018367 0.000870 0.000005
1.550000 0.033888 0.022837 0.000785 0.000006
1.579000 0.036833 0.026886 0.000706 0.000006
1.608000 0.039471 0.030539 0.000633 0.000006
1.637000 0.041829 0.033828 0.000567 0.000005
1.666000 0.043935 0.036779 0.000507 0.000005
1.695000 0.045815 0.039422 0.000452 0.000005
1.724000 0.047493 0.041785 0.000404 0.000005
1.753000 0.048994 0.043895 0.000360 0.000005
1.782000 0.050338 0.045779 0.000322 0.000004
1.811000 0.051547 0.047461 0.000288 0.000004
1.840000 0.052639 0.048964 0.000259 0.000004
1.869000 0.053632 0.050311 0.000234 0.000003
1.898000 0.054542 0.051523 0.000213 0.000003
1.927000 0.055384 0.052617 0.000195 0.000003
1.956000 0.056170 0.053612 0.000181 0.000003
1.985000 0.056915 0.054524 0.000169 0.000002
2.014000 0.057627 0.055367 0.000160 0.000002
2.043000 0.058319 0.056155 0.000153 0.000002
2.072000 0.058997 0.056900 0.000148 0.000002
2.101000 0.059671 0.057613 0.000146 0.000002
2.130000 0.060349 0.058305 0.000145 0.000001
2.159000 0.061036 0.058984 0.000145 0.000001
2.188000 0.061738 0.059658 0.000148 0.000001
2.217000 0.062461 0.060336 0.000151 0.000001
2.246000 0.063209 0.061022 0.000155 0.000001
2.275000 0.063987 0.061724 0.000161 0.000001
2.304000 0.064799 0.062447 0.000167 0.000001
2.333000 0.065648 0.063195 0.000175 0.000001
2.362000 0.066536 0.063973 0.000183 0.000001
2.391000 0.067467 0.064784 0.000191 0.000001
2.420000 0.068444 0.065632 0.000200 0.000000
2.449000 0.069467 0.066520 0.000210 0.000000
2.478000 0.070541 0.067450 0.000220 0.000000
2.507000 0.071665 0.068426 0.000231 0.000000
2.536000 0.072843 0.069449 0.000242 0.000000
2.565000 0.074076 0.070521 0.000254 0.000000
2.594000 0.075364 0.071645 0.000265 0.000000
2.623000 0.076710 0.072822 0.000278 0.000000
2.652000 0.078115 0.074054 0.000290 0.000000
2.681000 0.079581 0.075341 0.000303 0.000000
2.710000 0.081107 0.076686 0.000316 0.000000
2.739000 0.082696 0.078090 0.000329 0.000000
2.768000 0.084349 0.079555 0.000342 0.000000
2.797000 0.086067 0.081080 0.000356 0.000000
2.826000 0.087851 0.082668 0.000370 0.000000
2.855000 0.000000 0.084320 0.000384 0.000000
2.884000 0.000000 0.086037 0.000399 0.000000
2.913000 0.000000 0.087820 0.000414 0.000000
2.942000 0.000000 0.089670 0.000000 0.000000
2.971000 0.000000 0.091588 0.000000 0.000000
3.000000 0.000000 0.093577 0.000000 0.000000
