# x Analytic Right Left Central
0.400000 -0.230819 -0.111137 -0.357640 -0.234389
0.476667 -0.107005 0.002858 -0.228988 -0.113065
0.553333 0.007183 0.104744 -0.105962 -0.000609
0.630000 0.109037 0.192900 0.007555 0.100227
0.706667 0.196969 0.266754 0.108870 0.187812
0.783333 0.270446 0.326668 0.196409 0.261539
0.860000 0.329878 0.373782 0.269643 0.321712
0.936667 0.376450 0.409796 0.328972 0.369384
1.013333 0.411912 0.436748 0.375565 0.406157
1.090000 0.438341 0.456798 0.411141 0.433970
1.166667 0.457925 0.472051 0.437748 0.454899
1.243333 0.472787 0.484434 0.457546 0.470990
1.320000 0.484861 0.495623 0.472636 0.484129
1.396667 0.495818 0.507014 0.484934 0.495974
1.473333 0.507050 0.519732 0.496105 0.507919
1.550000 0.519670 0.534656 0.507532 0.521094
1.626667 0.534545 0.552455 0.520330 0.536393
1.703333 0.552334 0.573632 0.535366 0.554499
1.780000 0.573531 0.598560 0.553303 0.575931
1.856667 0.598500 0.627517 0.574636 0.601076
1.933333 0.627514 0.660717 0.599733 0.630225
2.010000 0.660782 0.698334 0.628871 0.663602
2.086667 0.698473 0.740517 0.662260 0.701388
2.163333 0.740734 0.787407 0.700072 0.743740
2.240000 0.787706 0.839151 0.742456 0.790804
2.316667 0.839532 0.895904 0.789555 0.842729
2.393333 0.896368 0.957841 0.841513 0.899677
2.470000 0.958388 1.025159 0.898488 0.961823
2.546667 1.025790 1.098080 0.960655 1.029367
2.623333 1.098796 1.176857 1.028211 1.102534
2.700000 1.177657 1.261770 1.101382 1.181576
