# x Analytic Right Left Central FivePoint
0.100000 1.316366 1.544879 0.000000 0.000000 0.000000
0.129000 1.423903 1.605255 0.000000 0.000000 0.000000
0.158000 1.511658 1.649688 0.000000 0.000000 0.000000
0.187000 1.581210 1.679514 0.000000 1.571885 0.000000
0.216000 1.634046 1.695979 0.000000 1.625496 0.000000
0.245000 1.671555 1.700246 0.000000 1.663728 0.000000
0.274000 1.695034 1.693400 1.596021 1.687879 1.695074
0.303000 1.705688 1.676463 1.643105 1.699161 1.705723
0.332000 1.704641 1.650398 1.675358 1.698701 1.704672
0.361000 1.692947 1.616123 1.694042 1.687560 1.692972
0.390000 1.671594 1.574522 1.700332 1.666731 1.671615
0.419000 1.641522 1.526447 1.695328 1.637160 1.641538
0.448000 1.603628 1.472731 1.680061 1.599748 1.603640
0.477000 1.558776 1.414187 1.655502 1.555366 1.558786
0.506000 1.507809 1.351615 1.622579 1.504857 1.507817
0.535000 1.451548 1.285800 1.582180 1.449046 1.451555
0.564000 1.390799 1.217510 1.535161 1.388739 1.390806
0.593000 1.326356 1.147495 1.482359 1.324730 1.326364
0.622000 1.258999 1.076482 1.424591 1.257798 1.259009
0.651000 1.189491 1.005170 1.362657 1.188705 1.189504
0.680000 1.118577 0.934221 1.297345 1.118191 1.118592
0.709000 1.046974 0.864257 1.229427 1.046971 1.046993
0.738000 0.975372 0.795853 1.159657 0.975731 0.975394
0.767000 0.904420 0.729531 1.088766 0.905117 0.904445
0.796000 0.834725 0.665758 1.017457 0.835731 0.834752
0.825000 0.766843 0.604937 0.946400 0.768129 0.766872
0.854000 0.701277 0.547412 0.876224 0.702809 0.701307
0.883000 0.638468 0.493462 0.807512 0.640211 0.638499
0.912000 0.578796 0.443303 0.740797 0.580716 0.578828
0.941000 0.522579 0.397094 0.676553 0.524640 0.522610
0.970000 0.470069 0.354931 0.615197 0.472236 0.470098
0.999000 0.421456 0.316861 0.557082 0.423696 0.421484
1.028000 0.376871 0.282880 0.502498 0.379152 0.376896
1.057000 0.336386 0.252940 0.451673 0.338681 0.336410
1.086000 0.300025 0.226957 0.404774 0.302306 0.300046
1.115000 0.267761 0.204812 0.361909 0.270005 0.267779
1.144000 0.239527 0.186363 0.323132 0.241714 0.239542
1.173000 0.215222 0.171443 0.288448 0.217336 0.215234
1.202000 0.194712 0.159871 0.257817 0.196739 0.194721
1.231000 0.177841 0.151456 0.231159 0.179771 0.177848
1.260000 0.164435 0.145998 0.208362 0.166259 0.164439
1.289000 0.154303 0.143296 0.189287 0.156018 0.154306
1.318000 0.147249 0.143146 0.173771 0.148851 0.147249
1.347000 0.143069 0.145351 0.161636 0.144557 0.143068
1.376000 0.141559 0.149718 0.152691 0.142935 0.141557
1.405000 0.142518 0.156060 0.146737 0.143784 0.142515
1.434000 0.145747 0.164201 0.143574 0.146907 0.145743
1.463000 0.151056 0.173973 0.142998 0.152113 0.151051
1.492000 0.158260 0.185218 0.144812 0.159221 0.158255
1.521000 0.167186 0.197792 0.148819 0.168056 0.167181
1.550000 0.177671 0.211559 0.154834 0.178456 0.177666
1.579000 0.189562 0.226395 0.162677 0.190268 0.189557
1.608000 0.202718 0.242189 0.172178 0.203351 0.202712
1.637000 0.217008 0.258837 0.183181 0.217575 0.217003
1.666000 0.232314 0.276249 0.195535 0.232821 0.232309
1.695000 0.248527 0.294342 0.209106 0.248980 0.248522
1.724000 0.265551 0.313044 0.223766 0.265955 0.265546
1.753000 0.283297 0.332291 0.239402 0.283658 0.283293
1.782000 0.301689 0.352027 0.255910 0.302011 0.301685
1.811000 0.320657 0.372204 0.273196 0.320946 0.320653
1.840000 0.340142 0.392780 0.291177 0.340401 0.340138
1.869000 0.360091 0.413722 0.309779 0.360325 0.360087
1.898000 0.380459 0.435001 0.328936 0.380672 0.380456
1.927000 0.401208 0.456592 0.348591 0.401404 0.401206
1.956000 0.422307 0.478478 0.368695 0.422488 0.422305
1.985000 0.443729 0.500644 0.389206 0.443898 0.443727
2.014000 0.465454 0.523081 0.410087 0.465613 0.465451
2.043000 0.487464 0.545782 0.431309 0.487617 0.487462
2.072000 0.509748 0.568745 0.452848 0.509896 0.509746
2.101000 0.532297 0.591969 0.474684 0.532443 0.532296
2.130000 0.555108 0.615456 0.496803 0.555252 0.555106
2.159000 0.578177 0.639213 0.519194 0.578323 0.578176
2.188000 0.601508 0.663246 0.541850 0.601655 0.601507
2.217000 0.625103 0.687564 0.564767 0.625254 0.625102
2.246000 0.648968 0.712177 0.587946 0.649124 0.648967
2.275000 0.673112 0.737100 0.611388 0.673273 0.673111
2.304000 0.697545 0.762344 0.635098 0.697712 0.697544
2.333000 0.722277 0.787925 0.659082 0.722452 0.722277
2.362000 0.747323 0.813859 0.683350 0.747506 0.747322
2.391000 0.772696 0.840163 0.707912 0.772887 0.772695
2.420000 0.798412 0.866856 0.732780 0.798612 0.798411
2.449000 0.824487 0.893955 0.757968 0.824698 0.824487
2.478000 0.850940 0.921480 0.783490 0.851160 0.850939
2.507000 0.877787 0.949453 0.809362 0.878019 0.877787
2.536000 0.905050 0.977893 0.835601 0.905292 0.905049
2.565000 0.932746 1.006822 0.862225 0.933000 0.932746
2.594000 0.960898 1.036262 0.889253 0.961163 0.960897
2.623000 0.989525 1.066236 0.916703 0.989803 0.989525
2.652000 1.018651 1.096766 0.944597 1.018941 1.018651
2.681000 1.048296 1.127877 0.972955 1.048599 1.048296
2.710000 1.078485 1.159592 1.001798 1.078800 1.078484
2.739000 1.109239 1.191935 1.031149 1.109568 1.109239
2.768000 1.140583 1.224933 1.061029 1.140926 1.140583
2.797000 1.172542 1.258609 1.091462 1.172898 1.172541
2.826000 1.205139 1.292990 1.122470 1.205509 1.205138
2.855000 1.238400 0.000000 1.154079 1.238784 0.000000
2.884000 1.272350 0.000000 1.186313 1.272749 0.000000
2.913000 1.307015 0.000000 1.219196 1.307429 0.000000
2.942000 1.342423 0.000000 1.252753 0.000000 0.000000
2.971000 1.378599 0.000000 1.287011 0.000000 0.000000
3.000000 1.415572 0.000000 1.321995 0.000000 0.000000
