# x Аналитическое Решение_1порядка Решение_2порядка
-0.900000 4.973915 6.572198 4.874146
-0.750000 1.443631 2.012198 1.499910
-0.600000 0.474921 0.656335 0.497202
-0.450000 -0.038265 -0.079778 -0.046739
-0.300000 -0.400325 -0.605068 -0.434541
-0.150000 -0.705775 -1.050646 -0.763195
-0.000000 -1.000000 -1.480643 -1.080094
0.150000 -1.317286 -1.943955 -1.421294
0.300000 -1.699315 -2.499944 -1.830491
0.450000 -2.219910 -3.252749 -2.384259
0.600000 -3.054095 -4.445198 -3.261086
0.750000 -4.788495 -6.866571 -5.041058
0.900000 -11.517178 -15.551571 -11.424382
