# x    y_численное   y_точное   y_производная
0.500000   0.247000   0.247176   1.868916
0.700000   0.707421   0.707578   2.745602
0.900000   1.351764   1.351926   3.716995
1.100000   2.202921   2.203091   4.817709
1.300000   3.288645   3.288824   6.064791
1.500000   4.639263   4.639448   7.467912
1.700000   6.286628   6.286818   9.033092
1.900000   8.263580   8.263772   10.764331
2.100000   10.603626   10.603818   12.664426
2.300000   13.340749   13.340941   14.735408
2.500000   16.509287   16.509477   16.978799
2.700000   20.143844   20.144030   19.395768
2.900000   24.279231   24.279411   21.987234
3.100000   28.950423   28.950597   24.753932
3.300000   34.192528   34.192694   27.696459
3.500000   40.040763   40.040920   30.815306
3.700000   46.530434   46.530581   34.110881
3.900000   53.696922   53.697059   37.583530
4.100000   61.575671   61.575797   41.233545
4.300000   70.202182   70.202295   45.061178
4.500000   79.611999   79.612098   49.066644
